jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8773148 915.7741325187355 26.8559560299254 26.2845 18.88002906991509 0.03183919530626564 20.9644734461867 g
2458205.9035185 821.7734717579089 73.6448124458727 26.1353 18.84841970652667 0.09729709660917209 19.720019587977703 g
2458205.9886921 898.0963205628884 39.1273173173904 26.2895 18.906192707202372 0.04730063740252914 20.560874808086606 g
2458208.8605208 507.4495386252377 127.296768053667 25.8106 19.047117845045268 0.27235437330436596 18.801131545506497 g
2458208.9251736 656.1990030698266 124.37141158719 26.0389 18.996311084378135 0.20577605410632352 19.05467358041096 g
2458211.8982639 1055.927042167808 86.7634950522995 26.2996 18.740515219369463 0.08920988175934172 19.70633239373232 g
2458211.9457755 1022.8884745184412 94.9818462337322 26.314 18.789429287033293 0.10081430480924235 19.62247347156692 g
2458214.8695949 183.8846218071063 65.3519127085374 23.6207 17.959336472766342 0.38585375400281063 17.33512923176307 i
2458216.8657755 1141.9793531092314 28.7554169515522 26.1345 18.490354370067344 0.027338284268712192 20.740275816111758 r
2458218.9261806 1083.04895071581 26.6230854308401 26.1426 18.5559797851557 0.026688252486796078 20.83202902473014 r
2458219.8447106 1165.763972509164 27.5069883014277 26.1821 18.515573426286156 0.025617824793968142 20.83606738229443 r
2458219.8613079 1219.5794355250875 25.0475986041623 26.1939 18.478374768230715 0.02229799635218563 20.949559751770884 r
2458222.8405787 1142.4487806015495 28.4413182545761 26.1526 18.50800815385807 0.02702855458669601 20.77030068399629 r
2458222.8609028 1121.1385239353265 29.0935721642673 26.1623 18.538151810475142 0.02817394159989379 20.75538236909613 r
2458226.8571412 1203.3051274477941 23.2654504629899 26.1734 18.47246058176634 0.020991599712737053 21.009196324883053 r
2458226.8775463 1201.4181022898406 23.0986619860098 26.1778 18.47856457158811 0.020873846723645218 21.021407930005623 r
2458229.0064931 722.1577204212197 29.0575671165633 25.504 18.357419853623917 0.043685471644686696 20.09842686515675 i
2458229.8164931 1033.970560068278 26.5274323173329 26.3233 18.7870295665044 0.02785459700615313 21.01663695131123 g
2458232.8327315 746.234075813222 23.907116342377 25.5005 18.31831230836744 0.03478259309538062 20.306757001622444 i
2458232.8771528 987.7006084901786 49.588554673751 26.0567 18.570136696691563 0.05450871787108635 20.07082136323768 r
2458232.9574653 934.4593648627925 20.3827968241025 26.2772 18.85079894812475 0.023681717305254247 21.25661555054122 g
2458235.8018171 886.6185930117898 59.0799171244454 26.2983 18.928957913705645 0.07234572625430769 20.122275295597635 g
2458237.8002199 958.1357360015377 93.4794955621445 26.1772 18.723632403658854 0.1059251675084765 19.502984088737534 g
2458242.8356134 1314.7339154710935 42.9914061870864 26.275 18.477905334163 0.035502065587617336 20.44412086291637 r
2458242.917419 1041.8790560428788 42.3670095993537 26.3155 18.77095673028249 0.04414894613269322 20.50050546122805 g
2458243.855787 817.0543277937227 28.6518204384111 25.5264 18.24577266320815 0.03807247620116201 20.136094437254847 i
2458245.8136458 108.80182700668355 34.7344141668519 23.4199 18.32830952969526 0.34660404607575723 17.820575043085153 g
2458247.6528472 822.570202894014 61.8309736395766 25.4817 18.19376756648933 0.08160991954766667 19.256259775914295 i
